field_type,Categorical,Location,Numeric,Numeric,Numeric,Numeric,Numeric
description,Area of sampling,Point in the SAFE landscape,Top canopy height,Top canopy height standard deviation,Gap fraction,Aboveground biomass,LiDAR ground coverage
levels,SAFE; Maliau,,,,,,
units,,,metres,metres,metres,grams2,ratio
method,,,LiDAR,LiDAR,LiDAR,LiDAR,LiDAR
field_name,Location,ID,tch,tch_sd,gf,agb,coverage
213,SAFE,C_624,4.454122812,6.868946696,0.799124453,6.29142717,0.992395247
214,SAFE,C_625,4.002236401,5.448257666,0.824796697,5.271688638,0.991817841
215,SAFE,C_626,8.087842373,7.085115152,0.624043032,16.86566913,0.992194146
216,SAFE,C_627,6.030319444,6.1292895,0.714514515,10.38133846,0.99527027
217,SAFE,C_789,3.240545906,5.805920686,0.866654989,3.718701542,0.989940947
218,SAFE,C_790,10.29257978,6.800374289,0.502226781,25.12251578,0.996722378
219,SAFE,C_791,14.52781945,7.216766501,0.231100108,44.41034623,0.999874959
220,SAFE,C_792,18.36625143,7.489763582,0.117062797,65.43303233,0.999974981
221,SAFE,C_793,4.719663458,6.493867403,0.81828417,6.923429422,0.99427056
222,SAFE,C_794,10.41464206,9.802035706,0.562198264,25.61691802,0.998248993
223,SAFE,C_795,5.051412862,6.357498718,0.750669101,7.746205957,0.989744616
224,SAFE,C_796,6.967404273,7.082042853,0.661939421,13.18104428,0.99254646
225,SAFE,C_864,10.80043026,6.921926887,0.379905455,27.20442188,0.998724394
226,SAFE,C_865,18.56291425,7.530909691,0.116271509,66.5952744,1
227,SAFE,C_866,4.854886214,5.694058276,0.798469388,7.254388801,0.996648659
228,SAFE,C_867,5.111370012,6.754640363,0.810933827,7.898779296,0.991497024
229,SAFE,D_145,12.16278808,7.6785503,0.400295236,33.10727079,0.999149319
230,SAFE,D_146,13.27124382,6.983890897,0.32156343,38.24178126,0.998374553
231,SAFE,D_147,14.35328148,7.01163512,0.276482362,43.53183339,0.998598949
232,SAFE,D_148,17.2588758,7.153943033,0.165207166,59.04072096,0.99984988
233,SAFE,D_149,18.32007066,6.992903568,0.127217676,65.16128531,0.999924931
234,SAFE,D_150,17.80499134,6.986865517,0.147775609,62.16072812,0.999849872
235,SAFE,D_151,11.20026198,6.900636121,0.438711452,28.88925088,0.999549809
236,SAFE,D_152,13.36819396,9.451038822,0.383397133,38.7046871,0.999674748
237,SAFE,D_153,16.26231862,8.851101608,0.250637978,53.51228739,0.999674756
238,SAFE,D_154,5.448843041,6.731306603,0.757270134,8.779301395,0.997947845
239,SAFE,D_155,2.972097743,4.715812195,0.897547548,3.223377592,0.996796797
240,SAFE,D_156,8.078347147,6.833967678,0.616918036,16.83295062,0.997648883
241,SAFE,D_157,11.26987695,7.124048405,0.489316988,29.18667387,0.998348762
242,SAFE,D_158,14.3649287,7.874533917,0.325477245,43.59024198,0.999299457
243,SAFE,D_159,9.312249515,6.832791149,0.611564251,21.29148684,0.997698159
244,SAFE,D_160,12.30088016,6.462402763,0.390892268,33.73093072,0.999524857
245,SAFE,D_161,13.99387153,6.008617766,0.25854781,41.74471291,1
246,SAFE,D_162,11.59284619,6.276496333,0.413146832,30.58221363,0.99959964
247,SAFE,D_163,12.83647681,7.468379181,0.358894171,36.19308134,0.999074306
248,SAFE,D_164,14.4079786,6.906245056,0.260777102,43.8063976,0.999749806
249,SAFE,D_165,14.61630013,7.67198954,0.29112879,44.85834649,0.999674772
250,SAFE,D_166,15.01580739,7.119042949,0.232934641,46.90319497,0.99969973
251,SAFE,D_167,14.97707059,6.817377104,0.221023922,46.70334906,0.999849865
252,SAFE,D_168,15.06971636,7.045161718,0.208435483,47.18187591,0.999574724
253,SAFE,D_169,16.65918295,7.248844172,0.196928003,55.68816419,0.999824886
254,SAFE,D_170,17.7085586,7.133467079,0.151496961,61.6051904,0.999949976
255,SAFE,D_171,17.03333078,6.951765557,0.162756378,57.77074265,0.999849925
256,SAFE,D_172,16.93799252,8.146832951,0.203488227,57.23720564,1
257,SAFE,D_173,16.05905819,9.436675769,0.304496799,52.41118133,0.99992497
258,SAFE,D_174,17.77816104,8.673556719,0.196603217,62.00596409,0.999674829
259,SAFE,D_175,11.84611424,9.091657929,0.461434574,31.69451495,0.99904962
260,SAFE,D_176,12.24692028,11.44916645,0.509169606,33.48668657,0.998924166
261,SAFE,D_177,11.52142935,11.25029824,0.547194356,30.27140843,0.998498987
262,SAFE,D_178,11.71499335,8.679244999,0.49722389,31.11669905,0.99812425
263,SAFE,D_179,10.85068009,6.787746516,0.495233091,27.41396617,0.997497685
264,SAFE,D_180,10.9900005,6.586453321,0.487664515,27.99825534,0.999649702
265,SAFE,D_181,12.20040931,9.880531285,0.494535724,33.27672228,0.998899642
266,SAFE,D_182,10.65776819,7.855918826,0.54880032,26.61298174,0.99917436
267,SAFE,D_183,11.73735719,7.513707655,0.436166221,31.21495353,0.999099347
268,SAFE,D_184,8.563173882,7.013873498,0.658377324,18.53542136,0.996997823
269,SAFE,D_185,8.971339781,7.838499297,0.6531776,20.01848355,0.995398044
270,SAFE,D_186,8.3132752,7.805671952,0.696314644,17.64981007,0.997372964
271,SAFE,D_187,9.918101516,5.519707648,0.550261505,23.62959463,0.999649658
272,SAFE,D_188,12.19562625,5.657136426,0.360602422,33.2551597,0.999674772
273,SAFE,D_189,12.19836988,6.899058958,0.39831441,33.26752764,0.999524834
274,SAFE,D_190,11.45403796,7.784156767,0.413835377,29.97927333,0.998899174
275,SAFE,D_191,12.30976275,6.860760076,0.327069833,33.7712041,0.99882403
276,SAFE,D_192,9.85578469,7.044898161,0.458436523,23.38467456,0.998824265
277,SAFE,D_628,13.7460221,6.986030517,0.302614788,40.52961482,0.998398599
278,SAFE,D_629,17.84484504,6.826123532,0.133533534,62.39089566,0.999824825
279,SAFE,D_630,13.82307675,9.315548181,0.35873699,40.90586078,0.99972478
280,SAFE,D_631,5.116327346,6.125057404,0.795282877,7.911446836,0.996898604
281,SAFE,D_632,11.66736004,7.413233154,0.466162968,30.9078325,0.998849166
282,SAFE,D_633,13.19121839,5.812978488,0.299196837,37.86134507,0.999849876
283,SAFE,D_634,13.86379995,7.841185241,0.332616254,41.10526026,0.999124497
284,SAFE,D_635,15.27280216,7.025627088,0.211039692,48.2375685,0.999799915
285,SAFE,D_636,18.25688244,7.059363175,0.139000776,64.79018362,0.999874909
286,SAFE,D_637,17.94243425,8.954656887,0.20485755,62.95592167,0.999949974
287,SAFE,D_638,13.69228129,11.32139554,0.439090295,40.26802036,0.99919938
288,SAFE,D_639,11.16181502,6.718694138,0.473801366,28.72550638,0.998899532
289,SAFE,D_640,11.46915562,8.55602286,0.505666608,30.04470952,0.999099347
290,SAFE,D_641,9.053394965,8.064096434,0.657049919,20.32205261,0.995446015
291,SAFE,D_642,11.85007231,5.878493025,0.410267958,31.71202242,0.999724787
292,SAFE,D_643,11.89681174,7.60954187,0.371586476,31.91905033,0.999124737
293,SAFE,D_797,15.88833769,7.209440727,0.246504765,51.49335303,0.998949554
294,SAFE,D_798,14.18880361,8.769102801,0.324871192,42.71031573,0.999349707
295,SAFE,D_799,10.63589209,6.424718631,0.529489745,26.52274365,0.998874437
296,SAFE,D_800,13.76969657,6.727576558,0.284503026,40.64506744,0.999224651
297,SAFE,D_801,17.95136733,7.157749338,0.136822888,63.00774328,1
298,SAFE,D_802,13.25259629,9.732688564,0.440619449,38.15299777,0.997222987
299,SAFE,D_803,10.67557604,8.279239823,0.559469602,26.68652782,0.999174381
300,SAFE,D_804,10.81105091,6.589970078,0.407415747,27.24865759,0.99919938
301,SAFE,D_868,14.46255892,7.830513379,0.288245008,44.08105486,0.999774809
302,SAFE,D_869,12.72146918,6.333533861,0.343017291,35.65861967,0.999924931
303,SAFE,D_870,13.71174499,9.23101563,0.3793509,40.36268666,0.999749769
304,SAFE,D_871,9.154840712,7.717951227,0.692011309,20.69984905,0.997898371
305,SAFE,E_193,3.48564306,3.788754731,0.928787689,4.19502409,0.995796322
306,SAFE,E_194,2.708589324,4.673480976,0.915142264,2.764780465,0.995395511
307,SAFE,E_195,3.488558994,4.27843307,0.895054162,4.200826811,0.994996623
308,SAFE,E_196,2.168582661,3.177877937,0.968688258,1.914392771,0.997524072
309,SAFE,E_197,3.596994222,5.623677715,0.888836069,4.418855191,0.997072658
310,SAFE,E_198,3.797209028,5.336043654,0.892449715,4.83278187,0.996797758
311,SAFE,E_199,9.495242067,8.729631629,0.583274947,21.98753635,0.999224302
312,SAFE,E_200,6.567072455,6.053679036,0.742153307,11.95275335,0.999299737
313,SAFE,E_201,5.582276471,6.490295817,0.750869032,9.137524274,0.999074699
314,SAFE,E_202,4.572420408,5.345820321,0.857846816,6.570029945,0.997548652
315,SAFE,E_203,5.075067428,6.093729922,0.807830873,7.806259444,0.998273705
316,SAFE,E_204,3.214873175,4.275205345,0.922045432,3.67012762,0.997723406
317,SAFE,E_205,6.315630763,6.840469181,0.708838908,11.20573904,0.998298767
318,SAFE,E_206,4.947688628,6.811184483,0.775534709,7.485042943,0.998023765
319,SAFE,E_207,6.262768009,7.235241268,0.726897587,11.0511183,0.995623359
